Nprocs,Decomp,Num_Messages,Data_MB,Scatter_ms,Sobel_ms,Gather_ms
4.0,1.0,7716,209.34,115.9376,57.5671,107.3004
4.0,2.0,30876,209.42,319.5185,56.842,415.7892
4.0,3.0,15438,209.42,173.5076,56.7367,184.8827
9.0,1.0,9136,247.86,104.0237,29.3737,99.6957
9.0,2.0,82336,248.13,604.8508,25.3565,2042.6006
9.0,3.0,27440,248.08,228.4077,26.523,274.7246
16.0,1.0,9630,261.26,113.224,14.6272,110.3393
16.0,2.0,154380,261.48,875.5284,14.4257,7003.8694
16.0,3.0,38580,261.67,321.5109,14.3346,678.8979
25.0,1.0,9840,266.96,110.9138,10.8829,108.6538
25.0,2.0,247008,267.6,1088.3567,9.3694,15626.8786
25.0,3.0,49392,267.93,376.4999,9.1694,908.9662
36.0,1.0,9940,269.67,115.8168,7.7538,112.8535
36.0,2.0,360220,270.7,1427.9317,8.4746,34937.852
36.0,3.0,59990,271.18,464.7863,6.3754,1330.2986
49.0,1.0,10080,273.47,116.3891,5.1693,111.8579
49.0,2.0,494016,273.26,1798.5284,6.1797,64179.4855
49.0,3.0,70560,273.47,535.2333,4.6777,1750.0002
64.0,1.0,10080,273.47,119.0342,4.7611,115.9211
64.0,2.0,648396,274.55,2165.322,4.8361,116611.4692
64.0,3.0,81018,274.75,577.2914,3.6455,2231.3048
81.0,1.0,10080,273.47,123.1965,5.2815,117.8395
81.0,2.0,823360,273.26,2614.2114,6.8297,208582.6182
81.0,3.0,91360,275.32,631.1145,5.6131,2891.9288
